CertificateId	OwnerId	FarmId	LotNumber	ICONumber	Altitude	Producer	NumberOfBags	BagWeight	InCountryPartner	HarvestYear	Grading	Variety	Status	ProcessingMethod	Aroma	Flavor	Aftertaste	Acidity	Body	Balance	Uniformity	CleanCup	Sweetness	Overall	Defects	TotalCupPoints	Moisture	CategoryOneDefects	Quakers	Color	CategoryTwoDefects	Expiration
1	1	64	Florentino Meneguetti		780	Florentino Meneguetti	5	300 kg	Brazil Specialty Coffee Association	2019	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	8.25	8.5	8.58	8.5	8.5	8.33	10	10	10	8.58	0	89.25	0.1	0	0	Blue-Green	5	2020-09-21 00:00:00.000
9	19	1	S017.167	5-0015-0605	1200		250	69 kg	Specialty Coffee Association of Costa Rica	2019	2019-09-06 00:00:00.000	Caturra	Completed	Washed / Wet	7.58	7.5	7.42	7.42	7.83	7.33	10	10	10	8.33	0	83.42	0.12	0	0	Blue-Green	5	2020-09-05 00:00:00.000
1	1	23	Pedro Marques De Souza		1280	Pedro Marques de Souza	3	180 kg	Brazil Specialty Coffee Association	2019	2019-10-02 00:00:00.000	Other	Completed	Washed / Wet	7.92	8.17	8.17	8.25	8.08	8.08	10	10	10	8.08	0	86.75	0.12	0	2		0	2020-10-01 00:00:00.000
1	1	63	Luciano Pimenta		1180	Luciano Pimenta	5	300 kg	Brazil Specialty Coffee Association	2019	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	8.17	7.92	8	8.17	8.25	8.08	10	10	10	8	0	86.58	0.1	0	0	Blue-Green	2	2020-09-21 00:00:00.000
1	1	67	Fábio Protasio De Abreu		1300	Fábio Protasio de Abreu	5	300 kg	Brazil Specialty Coffee Association	2018	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	7.83	8	8	8.08	8.08	8.17	10	10	10	8.17	0	86.33	0.11	0	0	Blue-Green	1	2020-09-21 00:00:00.000
1	1	67	Afonso Lacerda		1300	Afonso Lacerda	5	300 kg	Brazil Specialty Coffee Association	2019	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	7.58	7.67	7.67	7.67	7.67	7.58	10	10	10	7.58	0	83.42	0.11	0	0	Blue-Green	2	2020-09-21 00:00:00.000
3	16	4	Apollo Washed (2) 2019		1040	Yeh, Li Chuan	1	2 kg	Specialty Coffee Association	2019	2020-03-10 00:00:00.000	Catimor	Completed	Washed / Wet	7.58	7.75	7.58	7.58	7.83	7.92	10	10	10	7.83	0	84.08	0.13	0	0	Blue-Green	0	2021-03-10 00:00:00.000
3	16	4	Apollo Honey 2019		1040	Yeh, Li Chuan	1	2 kg	Specialty Coffee Association	2019	2020-03-10 00:00:00.000	Catimor	Completed	Washed / Wet	7.42	7.33	7.33	7.42	7.58	7.67	10	10	10	7.5	0	82.25	0.12	0	1	Green	1	2021-03-10 00:00:00.000
1	1	69	Sebastiana De Oliveira Faria		1300	Sebastiana de Oliveira Faria	5	300 kg	Brazil Specialty Coffee Association	2019	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	7.92	8.08	7.83	7.92	7.92	8	10	10	10	8.08	0	85.75	0.11	0	0	Blue-Green	0	2020-09-21 00:00:00.000
11	33	5	11/52/391	11/52/391	1700	Export Cafe	275	69 kg	Japan Coffee Exchange	2018	2019-10-17 00:00:00.000	Caturra	Completed	Washed / Wet	7.33	7.42	7.42	7.33	7.5	7.5	10	10	10	7.42	0	81.92	0	0	0	Blue-Green	5	2020-10-16 00:00:00.000
1	1	31	Maria Aparecida Milagres Miranda		1244	Maria Aparecida Milagres Miranda	5	300 kg	Brazil Specialty Coffee Association	2019	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	7.92	8.08	7.92	8	7.83	7.92	10	10	10	8.08	0	85.75	0.12	0	0	Blue-Green	1	2020-09-21 00:00:00.000
3	13	6	Bcu01/20		2800	Bugisu Cooperative Union , Ltd.	2	1 kg	Specialty Coffee Association	2019	2020-03-05 00:00:00.000	SL14	Completed	Washed / Wet	7.75	7.83	7.75	7.67	7.83	7.92	10	10	10	7.75	0	84.5	0.12	0	0	Green	10	2021-03-05 00:00:00.000
1	1	24	Simone Sampaio		1244	Simone Sampaio	5	300 kg	Brazil Specialty Coffee Association	2019	2019-09-22 00:00:00.000	Other	Completed	Washed / Wet	7.92	7.92	7.83	8	7.92	8	10	10	10	7.92	0	85.5	0.11	0	0	Blue-Green	0	2020-09-21 00:00:00.000
10	18	7	3-59-3032	3-59-3032	1779	JAIRO JIMENEZ	275	70 kg	CQI Colombia SAS	2019	2019-08-09 00:00:00.000	Caturra	Completed	Washed / Wet	7.75	7.75	7.5	7.5	7.58	7.67	10	10	10	7.58	0	83.33	0.1	0	1	Green	0	2020-08-08 00:00:00.000
3	18	7	003-0059-01487	003-0059-01487	1779	Orlando Moreno	275	70 kg	Specialty Coffee Association	2020	2020-03-17 00:00:00.000	Caturra	Completed	Washed / Wet	7.33	7.5	7.5	7.58	7.42	7.5	10	10	10	7.42	0	82.25	0.11	0	11	Blue-Green	0	2021-03-17 00:00:00.000
